matricule,first_name,last_name,date_naiss,gender,ministry,grade,diff_recens,diff_conges,diff_travail,actif
068737-M,Ike,Campkin,4/12/1992,Male,MINCOM,A,18817150,4136978,1092666606,0
019728-K,Jonathan,Beardsworth,1/16/1978,Male,MINCOM,D,16590602,5968870,1320299089,1
254877-B,Gene,Rivilis,10/25/1993,Female,MINFI,B,15854680,4221826,687031517,1
517059-O,Nickie,Coultard,10/21/1996,Male,MINREX,A,13021358,3524933,404684858,1
916179-V,Glenden,Jirsa,8/9/1984,Polygender,MINFI,A,2858796,1653410,1841113632,0
555249-N,Marius,Wheildon,12/27/1977,Male,MINEDUB,B,5214891,2616216,1309911181,1
037606-I,Anders,Aspland,7/9/1986,Male,MINSEC,B,24745553,1905633,274462137,1
273139-Q,Rodge,Bolsover,4/7/2000,Genderqueer,MINFI,D,10217597,4375035,785890524,0
873047-A,Meredith,Brewis,3/7/1981,Genderfluid,MINSEC,C,29414496,878077,1945399872,1
584810-O,Jonell,Semiras,1/7/1982,Female,MINEDUB,D,6557900,4080565,610225052,1
104140-G,Chauncey,Gorse,2/2/1990,Male,MINSUP,C,20856996,3862660,1959480323,0
078959-K,Arv,Wittering,9/10/1985,Agender,MINFI,D,16955755,5706252,1688886237,1
729627-Q,Editha,Kears,3/7/1998,Genderqueer,MINEDUB,D,18933469,2247315,1607434112,1
937607-Z,Cari,Lortzing,6/24/1994,Female,MINSUP,B,1674319,3448866,959724947,0
476245-Q,Xymenes,Prinett,10/1/1979,Male,MINREX,D,10367898,2985853,504692757,0
924083-K,Kassandra,Wrixon,8/19/1988,Female,MINREX,A,2739686,95778,1415741617,0
258765-K,Wye,Tabram,1/31/1988,Male,MINEDUB,A,19139945,2916555,685782102,0
830945-K,Hallsy,Hartshorne,4/20/1989,Male,MINSEC,D,3468071,5880639,1342623406,0
691225-X,Roderick,Arboine,6/22/1993,Male,MINREX,A,13738840,1462405,1159771150,0
425771-C,Callean,Neat,11/30/1981,Male,MINCOM,D,16568573,2598876,1986449911,0
935211-U,Avigdor,Bramont,5/18/1986,Male,MINEDUB,C,26463987,2689254,380942591,1
299731-O,Nora,Steenson,5/15/1971,Female,MINSUP,A,26235462,1251546,31550200,1
270870-M,Alyda,Hanshaw,4/14/1995,Female,MINSUP,A,11064244,4727835,1557192285,1
806655-C,Erwin,Klemke,10/28/1993,Male,MINCOM,D,8608703,2983717,1038919372,0
485036-Z,Jacenta,Yanin,1/7/1970,Female,MINSUP,A,9662049,3937756,1195207361,0
395673-E,Karlens,Tothe,1/20/1986,Male,MINFI,C,22886974,2087419,932314893,1
702171-Q,Alleyn,Merrywether,1/20/1973,Male,MINEDUB,C,18103939,910682,1675577868,0
